Number of point,X,Y
1,4,7.3
2,0.03,4.78
3,8.56,8.89
4,4.46,6.66
5,2.25,9.14
6,3.55,0.28
7,1.46,6.41
8,8.76,4.56
9,0.25,7.8
10,5.31,9.31
11,1.66,3.73
12,8.88,0.27
13,6.93,4.6
14,0.5,9.86
15,7.17,9.57
16,1.95,4.01
17,8.12,4.87
18,8.87,1.74
19,6.69,1.38
20,8.81,8.74
21,8.56,8.15
22,8.75,8.04
23,8.06,3.62
24,6.25,8.97
25,4.7,8.4
26,2.16,1.1
27,5.48,5.32
28,0.18,6.29
29,0.82,4.12
30,4.47,4.78
31,0.52,0.07
32,5.59,2.91
33,7.15,8.77
34,3.61,2.49
35,9.83,8.47
36,6.09,5.9
37,9.37,7.48
38,7.61,9.9
39,6.73,8.56
40,8.92,1.53
41,2.02,7.1
42,0.01,7.79
43,2.73,4.5
44,8.62,6.48
45,7.47,3.74
46,5.8,3.11
47,4.57,9.15
48,2.66,5.07
49,7.12,0.33
50,4.83,1.49
51,8.1,8.93
52,2.33,4.39
53,6.95,2.36
54,9.26,8.03
55,0.16,4.38
56,2.48,3.71
57,3.99,4.95
58,9.13,1.13
59,9.88,0.98
60,8.53,6.24
61,7.82,0.07
62,7.42,8.62
63,3.48,6.26
64,3.9,1.78
65,8.97,7.74
66,7.84,6.94
67,5.97,4.24
68,2.43,1.8
69,3.13,5.69
70,8.23,7.86
71,3.32,7.29
72,1.66,1.87
73,3.01,3.1
74,8.94,2.63
75,0.78,6.37
76,1.36,2.79
77,1.73,2.09
78,2.68,0.63
79,2.4,2.2
80,6.53,5.98
81,8.51,3.47
82,8.95,0.67
83,6.08,6.64
84,2.84,1.1
85,6.3,2.89
86,6.85,9.36
87,1.42,8.95
88,6.91,5.38
89,9.81,9.23
90,1.2,4.7
91,1.65,9.25
92,4.1,8.07
93,5.25,4.12
94,8.6,0.4
95,2.37,3.27
96,3.03,5.77
97,7.33,0.05
98,6.9,9.63
99,6.8,9.2
100,3.1,4.25
101,3.34,4.58
102,3.22,9.51
103,3.73,9.77
104,6.64,5.04
105,5.52,8.02
106,1.82,1.77
107,5.9,3.69
108,5.38,1.83
109,4.56,0.75
110,1.75,8.69
111,2.07,3.31
112,0.93,9.05
113,2.13,5.21
114,6.62,6.03
115,4.27,1.18
116,9.35,3.84
117,9.37,7.31
118,4.7,8.16
119,9.03,6.47
120,4.11,8.09
121,6.65,8.88
122,2.56,7.91
123,2.4,4.92
124,4.83,8.03
125,0.39,2.86
126,3.07,9.86
127,3.45,4.2
128,1.53,5.82
129,2.71,3.02
130,2.04,1.78
131,1.26,4.28
132,0.09,7.56
133,1.91,9.78
134,8.67,0.43
135,0.11,1.68
136,5.97,0.37
137,6.37,8.38
138,4.37,5.11
139,0.42,6.69
140,4.87,5.99
141,4.32,4.19
142,6.78,1.03
143,8.02,8.76
144,0.88,4.2
145,0.43,9.99
146,6.79,7.74
147,5.77,7.06
148,5.4,4.8
149,9.96,0.96
150,9.92,2.12
151,0.71,2.45
152,0.13,4.24
153,1.61,5.07
154,8.75,8.16
155,1.29,4.63
156,8.29,7.81
157,3.14,8.28
158,1.88,2.28
159,7.63,1.21
160,8.83,3.5
161,0.24,6.58
162,7.62,3.69
163,7.52,6.25
164,2.16,4.79
165,1.33,1.66
166,6.84,5.61
167,7.6,4.53
168,9.86,7.74
169,0.88,6.97
170,4.68,0.77
171,6.43,0.56
172,2.97,3.45
173,1.42,0.45
174,5.98,7.26
175,1.18,5.73
176,5.76,1.9
177,5.64,1.91
178,7.75,7.19
179,7.75,5.37
180,8.58,6.76
181,7.75,1.35
182,0.25,9.19
183,5.24,9.5
184,7.95,3.15
185,8.82,2
186,3.62,3.73
187,9.68,1.63
188,9.17,3.37
189,4.76,4.22
190,8.36,4.56
191,3.1,0.11
192,2.45,1.11
193,3.37,2.92
194,6.07,1.91
195,0.03,9.58
196,8.23,5.75
197,3.44,7.59
198,1.33,5.18
199,8.87,9.76
200,3.96,7.85
201,3.51,9.22
202,8.8,0
203,2.25,5.69
204,0.48,9.16
205,6.5,9.75
206,2.04,0.95
207,2.47,9.34
208,5.47,0.71
209,2.59,2.02
210,4.03,7.86
211,8.48,0.1
212,3.8,5.79
213,9.04,0.62
214,4.34,2.21
215,0.13,4.27
216,5.89,9.08
217,2.35,6.91
218,6.81,6.3
219,6.87,0.2
220,1.38,2.71
221,5.84,4.37
222,5.49,2.86
223,9.49,1.6
224,5.38,2.34
225,9.41,0.07
226,6.92,8.2
227,2.36,7.03
228,7.06,7
229,2.8,0.36
230,0.07,7.84
231,7.6,8.1
232,8.7,0.12
233,9.88,3.19
234,2.42,9.54
235,0.55,0.23
236,2.77,4.75
237,5.66,6.98
238,4.83,9.59
239,5.87,4.18
240,0.31,9.05
241,5.66,6.08
242,9.46,2.88
243,6.66,3.98
244,6.49,8.97
245,7.25,5.83
246,4.54,2.65
247,5.33,5.86
248,8.08,8.48
249,9.57,3.36
250,6.94,3.74
251,3.84,3.76
252,0.93,2.53
253,7.35,9.82
254,9.43,4.81
255,1.27,4.9
256,0.78,5.43
257,3.17,3.78
258,2.49,4.57
259,1.65,6.31
260,4.49,8.26
261,1.68,3.53
262,4.79,4.01
263,1.44,1.9
264,1.16,5.14
265,8.71,0.01
266,2.37,8.92
267,4.71,9.41
268,1.45,6.7
269,3.81,5.04
270,1.12,1.17
271,9.17,4.93
272,4.88,0.42
273,9.68,6.77
274,7.94,8.6
275,6.9,6.3
276,4.24,7.53
277,2.66,4.9
278,6.93,3.57
279,6.64,1.93
280,6,1.82
