Number of point,X,Y
1,9.03,8.15
2,1.74,2.99
3,9.47,6.68
4,3.52,2.06
5,4.52,5.63
6,8.37,6.53
7,8.75,9.11
8,4.7,0.93
9,3.84,4.73
10,4.55,4.53
11,7.51,8.51
12,2.17,6.94
13,5.82,7.08
14,0.84,3.64
15,0.2,4.13
16,1.44,9.07
17,5.62,5.6
18,3.13,2.4
19,0.96,9.82
20,8.03,1.8
21,9.27,5.65
22,4.5,1.91
23,8.54,7.01
24,0.1,5.94
25,2.36,8.05
26,8.7,2.85
27,7.55,2.74
28,4.66,8.43
29,1.51,4.97
30,1.83,0.99
31,5.03,6.8
32,6.95,4.41
33,9.76,4.63
34,8.36,1.09
35,7.23,6.85
36,4,7.03
37,5.04,2.26
38,2.05,8.67
39,3.57,9.06
40,2.28,7.41
41,4.17,4.52
42,3.65,3.68
43,6.86,7.41
44,8.96,1.2
45,9.37,5.33
46,5.3,6.48
47,5.75,2.47
48,3.64,8.92
49,5.42,1.9
50,8.03,3.83
51,7.73,7.72
52,4.58,5.66
53,2.27,5.75
54,9.17,5.33
55,0.69,5.41
56,7.22,9.93
57,2.75,9.85
58,5.98,5.67
59,3.5,8.24
60,7.06,3.12
61,3.55,4.61
62,4.02,3.47
63,0,1.19
64,7.62,0.75
65,1.53,6.46
66,2.84,2.73
67,3.74,4.94
68,8.04,6.84
69,7.95,1.8
70,1.2,2.64
71,2.24,9.23
72,0.61,2.16
73,7.22,5.03
74,1.62,7.63
75,7.26,7.22
76,1.91,8.78
77,7.24,2.91
78,3.02,9.32
79,4.8,4.22
80,6.36,4.75
81,0.1,3.86
82,7.33,8.9
83,9.66,6.12
84,1.86,2.94
85,7.41,0.68
86,7.27,8.33
87,5.5,1.09
88,1.21,6.2
89,4.11,3.25
90,7.95,3.97
91,4.58,0.74
92,6.45,3.33
93,2.98,7.95
94,1.27,4.74
95,6.24,6.71
96,3.44,5.07
97,6.01,6.12
98,4.92,8.69
99,8.39,8.33
100,8.59,3.84
101,8.15,9.2
102,8.57,7.58
103,8.46,7.9
104,1.87,2.92
105,8.15,1.64
106,6.95,0.73
107,4.17,7.24
108,1.44,6.68
109,8.78,5.76
110,1.57,9.32
111,7.52,8.68
112,6.31,6.07
113,3.48,4.86
114,4.89,3.43
115,2.29,3.59
116,2.12,6.75
117,3.92,5.17
118,0.86,1.11
119,9.23,1.3
120,3.47,7.72
121,7.92,1.92
122,1.68,3.01
123,1.75,2.03
124,4.45,1.22
125,0.02,6.85
126,1.33,1.04
127,0.4,8.58
128,7.15,9.77
129,1.02,7.57
130,9.47,8.91
131,0.88,8.72
132,0.16,5.1
133,8.62,0.09
134,7.33,0.88
135,2.83,5.62
136,0.91,2.93
137,8.28,6.68
138,2.54,7.94
139,0.49,9.7
140,1.98,6.81
141,4.57,7.15
142,4.65,4.23
143,5.88,4.7
144,2.37,1.56
145,2.12,9.59
146,0.42,4.48
147,4.31,2.84
148,1.31,7.16
149,3.86,4.7
150,2.8,0.9
151,9.84,3.1
152,5.89,8.7
153,6.18,3.42
154,2.32,7.47
155,3.65,1.65
156,4.67,1.84
157,3.67,0.81
158,8.9,3.56
159,4.79,8.49
160,9.08,2.56
161,6.34,7.08
162,5.58,2.53
163,8.41,5.89
164,4.28,7.07
165,7.65,6.62
166,0.79,1.82
167,6.94,7.6
168,0.31,9.58
169,3.92,2.74
170,8.68,9.22
171,6.92,5.85
172,1.19,3.66
173,6.03,7.89
174,0.74,8.16
175,0.95,6.46
176,6.79,8.21
177,1.38,1.68
178,3.85,1.07
179,6.69,0.57
180,7.71,4.22
181,6.83,4.7
182,4.96,2.69
183,2.2,6.46
184,6.39,8.97
185,6.81,7.03
186,1.11,3.92
187,4.13,6.54
188,2.48,3.77
189,4.92,2.12
190,6.79,5.86
191,0.07,7.11
192,8.85,8.16
193,2.11,2.34
194,3.85,4.22
195,7.75,9.67
196,9.72,6.06
197,7.61,8.46
198,3.13,1.49
199,7.48,9.5
200,9.4,9.78
201,19.96,1.54
202,15.41,7.72
203,10.33,0.59
204,15.94,9.62
205,17.58,7.27
206,13.51,5.86
207,15.47,7.9
208,16.5,6.71
209,12.86,8.19
210,18.65,2.44
211,14.38,1.11
212,10.66,5.79
213,14.32,2.18
214,19.06,4.44
215,10.06,4.76
216,10.25,2.9
217,18.25,2.03
218,15.13,7.38
219,17.59,8.64
220,12.39,4.36
221,14.12,7.65
222,12.93,8.48
223,13.06,4.9
224,18.5,9.62
225,12.69,9.37
226,14.68,1.2
227,11.41,1
228,18.43,2.21
229,14.05,3.17
230,19.56,8.85
231,14.1,8.98
232,13.21,8.99
233,17.89,7.87
234,14,5.92
235,19.87,7.87
236,18.5,3.58
237,19.05,7.46
238,16.24,5.74
239,10.54,6.49
240,15.2,2.13
241,13.53,6.01
242,20,5.18
243,13.03,6.44
244,19.75,9.85
245,10.73,9.62
246,19.49,5.1
247,13.7,9.13
248,18.77,5.53
249,19.48,8.62
250,18.62,5.6
251,12.25,3.84
252,12.03,7.21
253,17.13,1.04
254,12.51,8.2
255,15.18,2.4
256,11.99,4.95
257,19.11,8.34
258,14.92,4.79
259,13.23,3.62
260,16.33,3.52
261,14.27,3.54
262,13.92,1.29
263,16.75,5.7
264,18.97,7.5
265,16.44,5.44
266,12.85,8.18
267,10.39,6.17
268,12.61,2.39
269,17.2,5.32
270,19.17,0.58
271,14.8,8.89
272,15.87,3.25
273,15.16,2.84
274,19.35,6.36
275,13.04,3.41
276,19.42,9
277,10.07,5.88
278,19.73,9.68
279,12.55,3.37
280,16.16,9.2
281,17.7,9.89
282,10.07,0.88
283,14.22,3.99
284,16.42,7.16
285,17.55,7.43
286,13,2.65
287,13.37,4.83
288,16.92,8.55
289,12.8,5.89
290,18.25,3.39
291,17.65,2.28
292,18.42,4.03
293,11.21,6.87
294,14.61,4.43
295,17.97,0.67
296,12.03,2.83
297,18.28,4.53
298,10.64,5.69
299,18.93,0.35
300,15.27,6.75
301,19.4,3.53
302,16.79,1.12
303,18.78,7.32
304,19.99,8.07
305,11.53,8.29
306,14.31,8.09
307,14.69,1.78
308,18.67,3.58
309,11.33,9
310,19.91,0.88
311,10.66,8.05
312,15.7,4.44
313,11.59,5.5
314,10.23,0.96
315,10.62,8.77
316,10.69,9.78
317,19.75,8.22
318,16.65,3.38
319,10.92,5.91
320,10.73,0.54
321,18.15,8.82
322,19.39,8.96
323,14.13,6.1
324,15.72,3.27
325,18.47,6.49
326,11.44,6.22
327,11.11,7.24
328,12.92,3.14
329,19.68,8.84
330,18.79,3.56
331,10.28,0.76
332,16.67,1.47
333,14.03,7.23
334,12.02,4.26
335,19.52,7.6
336,11.72,3.38
337,12.35,9.45
338,10.63,3.23
339,17.74,4.2
340,19.75,4.42
341,12.21,7.55
342,17.99,0.92
343,15.89,8.99
344,17.14,2.51
345,12.29,9.37
346,17.02,3.37
347,17.76,3.25
348,13.87,8.65
349,13.27,4.64
350,17.47,6.39
351,13.15,5.88
352,19.32,2.78
353,18.93,0.39
354,15.12,2.14
355,12.51,7.99
356,13.62,0.68
357,19.21,2.12
358,19.5,8.32
359,13.01,1.74
360,10.28,6.61
361,15.98,5.58
362,14.12,1.51
363,17.93,1.14
364,14.16,3.23
365,14.44,7.28
366,13.56,5.5
367,15.04,1.29
368,14.73,9.37
369,14.78,8.49
