(-298, 80)
(-535, -373)
(792, -224)
(-865, 533)
(61, 981)
(740, 705)
(-498, -915)
(-426, -360)
(191, 961)
(-551, -997)
(411, -137)
(261, -145)
(131, -991)
(492, -569)
(817, 120)
(-806, 516)
(951, -249)
(-860, -449)
(570, 58)
(836, 834)
(-859, 503)
(142, 71)
(168, 235)
(132, -629)
(939, -952)
(-295, -247)
(463, -397)
(925, -134)
(-54, 627)
(525, -484)
(-612, -948)
(586, 518)
(391, -788)
(800, 196)
(-792, -983)
(192, -469)
(-722, -464)
(-953, 940)
(417, -412)
(216, 374)
(-540, 113)
(45, -606)
(-501, -807)
(-894, 659)
(742, 226)
(-891, 575)
(628, 953)
(-519, 619)
(-280, 399)
(692, -934)
(-710, 167)
(88, 272)
(69, 325)
(-923, -385)
(448, -648)
(616, -603)
(155, -986)
(-787, -707)
(211, -426)
(-934, 296)
(-654, 161)
(-66, 51)
(-164, 713)
(-394, 96)
(-972, 273)
(326, -656)
(159, 283)
(408, 999)
(11, 834)
(-583, -622)
(448, 714)
(-362, -925)
(464, -637)
(-190, 427)
(-496, -199)
(438, 670)
(7, -458)
(849, 69)
(-293, -101)
(-543, -900)
(-726, -532)
(997, -513)
(969, -828)
(-50, 939)
(-883, -91)
(190, -611)
(-554, 872)
(-755, 326)
(-249, -184)
(-959, 316)
(-390, -471)
(732, 763)
(697, -420)
(-231, 808)
(-400, -809)
(780, -872)
(-749, -122)
(-267, 728)
(-474, 998)
(954, -999)
(116, 781)
(-523, -703)
(785, -645)
(-133, 632)
(327, -355)
(-876, 903)
(-143, -95)
(-803, 176)
(798, 955)
(-809, 693)
(-462, -813)
(157, 146)
(271, -520)
(997, 147)
(943, -822)
(610, -226)
(-623, -823)
(647, 926)
(-811, -125)
(-878, -252)
(-640, 997)
(301, -981)
(-490, 101)
(-672, 794)
(674, -643)
(-70, -429)
(-668, -307)
(723, -326)
(-201, -541)
(-298, 743)
(-295, 481)
(-858, -141)
(134, -844)
(62, -460)
(-94, 32)
(-286, 242)
(-525, -920)
(-329, -7)
(262, 823)
(-820, -106)
(-888, -970)
(-48, 642)
(-805, -223)
(-63, 739)
(695, 17)
(-703, 462)
(-637, -258)
(361, 588)
(-475, 387)
(-765, 12)
(-760, -630)
(915, -416)
(189, -848)
(297, -632)
(708, -391)
(446, -194)
(-463, -199)
(89, 461)
(508, 371)
(-641, 436)
(-363, 53)
(758, -804)
(407, -91)
(-923, -701)
(-558, -985)
(-834, 944)
(392, 607)
(468, 79)
(12, -936)
(-747, -757)
(-955, 887)
(314, 608)
(149, -222)
(-418, 222)
(526, -965)
(496, -75)
(426, -794)
(982, -469)
(841, -245)
(824, 377)
(110, 569)
(-660, 420)
(29, 900)
(641, 361)
(883, -525)
(-662, -450)
(-446, -279)
(722, -167)
(-719, 9)
(-15, -494)
(-395, -154)
(-677, -348)
(-399, -562)
(737, -561)
(915, 596)
(-372, 150)
(-886, 783)
(408, -414)
(141, 968)
(-734, -355)
(-102, -660)
(-337, -512)
(-839, -579)
(-279, -763)
(945, -674)
(-94, -474)
(-598, 122)
(-136, 513)
(46, -303)
(-646, -753)
(260, -237)
(900, -242)
(-261, 643)
(571, 340)
(-555, -562)
(280, 16)
(79, -193)
(662, -643)
(-449, 285)
(312, 765)
(-81, -863)
(-86, -261)
(-866, 299)
(-575, 952)
(-602, 258)
(607, -427)
(-426, -333)
(-188, 90)
(721, 318)
(12, 656)
(379, 554)
(551, 866)
(608, 248)
(926, -707)
(-201, -312)
(-153, -623)
(951, -20)
(289, 817)
(-897, -399)
(755, 498)
(128, -71)
(-878, 733)
(-716, -536)
(292, 616)
(-789, -517)
(-754, -898)
(-913, 236)
(565, -457)
(9, 674)
(58, 247)
(110, 480)
(981, 427)
(-126, -196)
(-64, 444)
(218, -795)
(-929, 480)
(692, -890)
(-581, 932)
(-704, -335)
(17, 264)
(717, -730)
(-258, 19)
(120, 462)
(-110, 446)
(-771, -933)
(26, -352)
(357, 376)
(960, 832)
(165, -417)
(5, -250)
(-377, 61)
(514, 418)
(-521, 856)
(180, -272)
(-717, 222)
(-217, -988)
(916, -811)
(169, -507)
(220, -148)
(-886, -714)
(568, -735)
(-924, 664)
(901, 760)
(-675, -989)
(897, 966)
(27, -709)
(463, 974)
(880, -298)
(608, 27)
(-337, -88)
(-713, -332)
(-408, -264)
(-538, 965)
(-56, 847)
(716, 35)
(978, -686)
(-620, -274)
(-802, -58)
(916, 722)
(924, 18)
(827, 762)
(-94, 45)
(-991, 124)
(-952, 172)
(-296, -359)
(92, -89)
(-644, -116)
(-387, -658)
(675, 403)
(113, -579)
(-572, 708)
(649, 926)
(-710, 141)
(603, -37)
(-375, -249)
(786, -687)
(63, 900)
(243, 189)
(734, 55)
(-257, -268)
(372, -705)
(-73, -634)
(144, 279)
(-552, 896)
(-103, -796)
(-447, -653)
(-390, 455)
(584, -115)
(877, -300)
(787, 714)
(782, 461)
(15, -879)
(74, -379)
(-143, 984)
(-589, 786)
(-234, 419)
(-756, 905)
(-277, 589)
(748, 660)
(956, 627)
(-413, -237)
(417, 878)
(-420, 670)
(136, 467)
(-476, -373)
(229, -881)
(-421, -633)
(630, 136)
(114, 935)
(959, -241)
(769, 207)
(235, 32)
(825, -814)
(847, 905)
(-486, 249)
(-162, -553)
(-728, -777)
(519, -947)
(-783, -514)
(-884, 14)
(865, -763)
(757, -835)
(-32, 36)
(461, 875)
(843, 267)
(-820, 467)
(-619, 633)
(-675, -470)
(48, -84)
(-548, -765)
(65, -546)
(-702, 245)
(-176, -894)
(701, -314)
(-236, 905)
(-709, -679)
(-162, -291)
(633, -646)
(535, -631)
(204, -869)
(-101, -249)
(334, -974)
(-140, -218)
(983, -44)
(344, -389)
(870, 129)
(-61, 481)
(608, -492)
(965, 760)
(-632, 554)
(501, -839)
(200, 506)
(-739, -435)
(-978, 718)
(525, 571)
(219, 573)
(377, 458)
(-616, -52)
(690, -67)
(-353, -178)
(-867, 848)
(345, -632)
(876, 720)
(372, 383)
(484, -834)
(313, 706)
(-276, 282)
(-846, 971)
(819, 785)
(283, 324)
(-788, -411)
(457, 983)
(56, 860)
(-20, -289)
(-376, 986)
(-758, -982)
(178, -28)
(-225, -184)
(93, -654)
(87, -842)
(-827, 919)
(157, -778)
(-4, 662)
(-364, 690)
(-870, 38)
(-768, 66)
(368, -431)
(-433, -398)
(888, -663)
(-442, 754)
(346, 575)
(554, 725)
(863, -748)
(-431, 715)
(-261, -625)
(887, 738)
(817, 523)
(614, -525)
(-136, 553)
(775, 718)
(463, -298)
(771, 809)
(-155, 963)
(292, 549)
(925, -66)
(520, 557)
(-639, -404)
(297, 393)
(-566, 206)
(-662, -769)
(-799, 850)
(-498, -376)
(-11, 439)
(366, -319)
(-652, -758)
(329, 655)
(-757, -728)
(585, -807)
(886, -633)
(-948, 934)
(-93, 14)
(-23, -897)
(-273, -458)
(-182, 628)
(-855, -144)
(844, 131)
(-315, 197)
(314, -883)
(989, 312)
(639, -476)
(-414, 291)
(543, 28)
(-751, -578)
(-996, 930)
(-49, -124)
(-948, 776)
(949, -249)
(755, 625)
(333, -660)
(-822, -744)
(-654, 896)
(656, -153)
(-23, 523)
(7, -808)
(855, -749)
(247, 482)
(-57, -42)
(-884, 545)
(-593, 623)
(255, -598)
(981, -201)
(171, 170)
(50, -797)
(-232, -271)
(856, -450)
(204, -623)
(-997, -559)
(441, 671)
(138, -790)
(946, -573)
(64, -118)
(-241, -843)
(920, -395)
(641, -459)
(-861, -79)
(99, 213)
(70, 721)
(-343, -402)
(294, -828)
(661, -816)
(739, -685)
(563, -881)
(-345, 438)
(756, -875)
(574, 244)
(288, 502)
(192, 313)
(944, -977)
(-667, -534)
(644, 171)
(-895, -501)
(-369, 176)
(487, -312)
(943, 487)
(-394, -255)
(-87, 525)
(-767, 804)
(-243, -698)
(-222, -313)
(655, -272)
(-371, -123)
(-510, -92)
(389, 164)
(325, -772)
(371, -680)
(76, 260)
(903, 758)
(-786, -809)
(722, 720)
(-97, -488)
(-752, -589)
(-318, 767)
(963, -61)
(-177, -367)
(565, -457)
(-131, -550)
(-740, 434)
(359, -300)
(98, 829)
(459, -106)
(-475, -63)
(237, -366)
(-528, 26)
(223, 903)
(-355, 904)
(217, 818)
(751, -88)
(691, -352)
(652, -999)
(579, -192)
(212, -911)
(614, -51)
(251, 657)
(673, -79)
(-669, -331)
(460, -484)
(813, -997)
(-666, -866)
(-626, 786)
(-391, 96)
(-931, 161)
(-902, 396)
(513, -798)
(-826, -256)
(-378, 697)
(-279, -186)
(738, 371)
(69, -505)
(-142, -796)
(599, -42)
(-739, 513)
(-280, -452)
(864, 314)
(-201, 996)
(910, 216)
(399, -720)
(-974, 864)
(609, -986)
(399, 790)
(864, 18)
(-5, -11)
(11, 167)
(603, 396)
(-877, -606)
(-292, -689)
(-574, 763)
(-942, -626)
(812, -816)
(944, -581)
(52, 969)
(-384, -438)
(-874, -944)
(-480, -346)
(-465, -228)
(-468, 421)
(-964, 844)
(849, -651)
(39, -114)
(-852, -672)
(80, -680)
(816, -706)
(-722, -603)
(-705, 543)
(-840, -391)
(-405, -342)
(333, -556)
(-853, 610)
(-760, -428)
(-580, -909)
(538, -715)
(-764, -954)
(182, -885)
(-351, 615)
(773, 77)
(-465, -345)
(869, 518)
(-560, 840)
(-306, 967)
(117, -719)
(45, 879)
(-410, -935)
(-51, -486)
(227, -72)
(-476, 986)
(479, -658)
(402, -28)
(-714, -3)
(639, -136)
(327, 493)
(837, 637)
(-809, 226)
(-145, -829)
(-901, 973)
(188, 840)
(908, 926)
(-906, -434)
(-355, 395)
(756, 602)
(758, 662)
(-667, 605)
(-566, 552)
(647, -368)
(-673, -538)
(973, -528)
(668, 642)
(-447, -759)
(-555, -235)
(-544, 185)
(-652, 628)
(-49, 355)
(-595, -713)
(551, 801)
(-152, -39)
(-601, 519)
(766, -431)
(-779, -788)
(241, 314)
(909, 270)
(-876, 563)
(707, -591)
(-926, 310)
(657, 818)
(836, -908)
(-124, 9)
(-33, 774)
(604, 800)
(897, 551)
(558, -996)
(936, 394)
(-937, -912)
(-264, -55)
(446, -337)
(436, 380)
(-84, 23)
(-343, 655)
(-316, -750)
(30, 180)
(358, -705)
(986, -74)
(-494, -965)
(307, 571)
(873, 315)
(-278, -297)
(250, -801)
(-122, 299)
(927, -523)
(544, -688)
(975, 627)
(-820, -979)
(541, 997)
(-787, 116)
(988, -464)
(-374, -150)
(-148, 321)
(921, -486)
(495, 395)
(-121, 864)
(-519, -412)
(602, -986)
(-532, 454)
(-695, 394)
(-732, 882)
(-940, -117)
(999, -942)
(554, -979)
(684, -645)
(877, 547)
(18, -696)
(-433, -637)
(116, -367)
(844, -904)
(98, -595)
(-908, -488)
(36, -483)
(1000, -952)
(976, 339)
(-770, 529)
(-368, -648)
(-909, 485)
(-457, 865)
(74, 10)
(-848, -440)
(883, 141)
(696, -600)
(-551, -478)
(-67, -155)
(876, -935)
(-427, -650)
(347, -123)
(765, 244)
(172, -330)
(-169, -787)
(-410, -521)
(670, -906)
(945, -103)
(979, 404)
(-134, -61)
(-745, -246)
(-547, -746)
(-115, 474)
(201, -333)
(886, 746)
(-648, 190)
(-250, -576)
(-591, 892)
(-606, -14)
(354, 213)
(557, 826)
(-557, -399)
(-971, 216)
(-909, 133)
(6, 835)
(-564, 546)
(-561, 959)
(582, -840)
(-876, 40)
(-912, -598)
(-903, -164)
(182, 902)
(326, 193)
(-859, 911)
(853, 568)
(146, -557)
(-243, -561)
(-483, -857)
(547, 797)
(-742, -899)
(458, -702)
(-822, -125)
(-299, -591)
(-623, -682)
(941, -802)
(573, -683)
(-509, -138)
(-84, -930)
(850, -323)
(-336, -818)
(-952, -915)
(154, 767)
(883, -125)
(-188, -731)
(913, -473)
(138, 812)
(-51, 271)
(-580, -319)
(-735, 812)
(802, 683)
(292, -1000)
(899, -16)
(310, -280)
(-356, -957)
(733, -112)
(-120, -621)
(-714, -272)
(-116, -432)
(-838, 40)
(-656, -886)
(689, 644)
(373, -3)
(10, 738)
(-543, -552)
(-610, -819)
(514, -938)
(-762, 574)
(-588, 253)
(105, -226)
(-379, -678)
(996, 799)
(804, 279)
(-315, 695)
(814, -931)
(-217, -763)
(-598, -994)
(54, -191)
(-926, 84)
(890, 577)
(-411, -519)
(-568, 705)
(-390, 229)
(446, -795)
(-329, -223)
(-797, -420)
(-341, 337)
(-123, -301)
(801, 416)
(577, 115)
(-172, -625)
(-437, -830)
(-975, 841)
(644, 218)
(-359, -936)
(23, 468)
(-260, -93)
(643, -970)
(-984, -348)
(-728, -260)
(383, -701)
(-440, -844)
(-377, -990)
(551, 792)
(-418, 392)
(768, -324)
(-972, 630)
(900, 415)
(484, 964)
(128, -712)
(227, 203)
(-283, 688)
(-657, 513)
(-618, 275)
(133, 545)
(-604, 472)
(299, 331)
(-718, 305)
(-897, 90)
(-269, 427)
(381, -126)
(-377, -901)
(528, -316)
(382, -150)
(805, -503)
(-181, -806)
(-429, -946)
(-29, -790)
(413, -283)
(-792, -315)
(-923, 754)
(661, 592)
(-964, 737)
(-693, 266)
(-725, 215)
(111, -976)
(662, -703)
(-627, -257)
(-150, -718)
(134, -46)
(-195, -59)
(27, -95)
(-731, -662)
(747, 480)
(188, 745)
(-861, -509)
(-625, 986)
(-289, 185)
(591, -139)
(240, -84)
(934, -405)
(-806, -352)
(775, -960)
(340, -285)
(-306, 837)
(872, -762)
(-464, -873)
(369, 199)
(-296, 967)
(650, 933)
(835, -697)
(92, -618)
(-196, -499)
(235, 316)
(-190, 16)
(723, -961)
(225, -259)
(-318, -260)
(123, 502)
(-986, 782)
(717, -43)
(878, -1000)
(304, 802)
(366, -331)
(-525, 992)
(562, 37)
(324, -258)
(627, 238)
(-431, 992)
(455, -563)
(-664, -911)
(353, -253)
(-454, 11)
(483, 454)
(-175, 994)
(393, -419)
(275, -173)
(148, 850)
(261, 433)
(-527, -244)
(199, -213)
(-702, -611)
(49, 20)
(-520, -756)
(170, -547)
(-121, -758)
(-217, -979)
(941, -986)
(48, -443)
(838, 556)
(-293, 740)
(-919, -649)
(538, -955)
(771, -645)
(840, 484)
(187, 398)
(-116, 990)
(852, -77)
(-929, 32)
(821, -767)
(-224, 522)
(-882, 633)
(474, 469)
(438, -340)
(-657, 892)
(-371, -568)
(-153, 486)
(-493, 498)
(212, 347)
(813, -548)
(-202, 228)
(-388, -399)
(459, -625)
(774, 296)
(191, 544)
(57, -528)
(778, -283)
(198, -473)
(462, 62)
(853, 343)
(649, -168)
(-949, -231)
(95, 509)
(-964, -503)
(826, 625)
(304, 577)
(285, -462)
(-641, -796)
(-691, -813)
(-387, -141)
(525, -242)
(310, 959)
(-119, 760)
(-759, -589)
(-529, 738)
(-745, 616)
(549, -565)
(-981, 629)
(691, -170)
(-975, 832)
(-233, 701)
(-565, 595)
(270, 659)
(10, -810)
