(-9, -89)
(100, -31)
(-80, -38)
(-5, 86)
(-79, -61)
(43, 43)
(46, 23)
(-64, 84)
(-55, -42)
(-81, 38)
(-61, 46)
(-25, 27)
(21, 63)
(-55, 0)
(-58, 14)
(25, -73)
(80, -91)
(-94, -20)
(99, 43)
(65, 47)
(-72, 82)
(41, -13)
(-79, -97)
(12, 50)
(-86, -28)
(89, -3)
(51, -85)
(-3, 38)
(40, -30)
(20, 76)
(-88, -87)
(10, -56)
(92, -92)
(85, 28)
(83, 84)
(-67, -70)
(90, 40)
(-94, 9)
(69, -8)
(30, -12)
(-88, 86)
(-1, -59)
(13, 49)
(35, -40)
(-98, 16)
(-76, 34)
(25, -95)
(-30, -32)
(81, 43)
(-46, 46)
(-11, -98)
(86, 56)
(-95, -43)
(-50, -23)
(-50, 75)
(62, -2)
(29, -13)
(76, -13)
(-35, 77)
(-14, 99)
(86, -77)
(-49, 0)
(-58, -42)
(-67, 3)
(-99, 3)
(89, 9)
(-34, -35)
(-64, 24)
(40, -17)
(-42, -58)
(-72, -28)
(25, -26)
(-10, 72)
(-20, 19)
(-3, -6)
(-37, -14)
(86, -39)
(-94, -36)
(3, 39)
(75, 39)
(-3, -34)
(-76, 74)
(30, -18)
(-65, -18)
(22, 5)
(-5, -26)
(-17, 13)
(-10, 65)
(-96, -89)
(-20, -24)
(-7, 4)
(-98, 49)
(-58, 66)
(72, 27)
(-54, -100)
(73, 12)
(-48, -94)
(71, -54)
(-6, -15)
(4, -59)
